_id,name,building,wkt_geom
396,changing_room,ismb,"Polygon ((7.65873084316370267 45.06500751439198638, 7.65878047695558895 45.06507570139043395, 7.65879992875049265 45.06506830125106688, 7.65874997780977651 45.06500021996890126, 7.65873084316370267 45.06500751439198638))"
397,research_lab17,ismb,"Polygon ((7.65867090203485379 45.06513310532872651, 7.65871329426179415 45.06519061498327261, 7.6587322703334495 45.06518379628341364, 7.65875277929112031 45.06518527631127569, 7.65877323539065458 45.06521323826645187, 7.6588280492800962 45.06519537221568328, 7.65876002085607155 45.06510234189222075, 7.65867090203485379 45.06513310532872651))"
398,research_lab18,ismb,"Polygon ((7.65871350569434739 45.06519103784840752, 7.65873893045888465 45.0652251313476313, 7.65877273323834196 45.06521347612813599, 7.65875248857136448 45.0651859106089816, 7.65873234962066274 45.06518443058111245, 7.65871350569434739 45.06519103784840752))"
399,warehouse2,ismb,"Polygon ((7.65883021646376783 45.06519452648547031, 7.65885738554686757 45.06518522345312761, 7.65884057665887941 45.06516196587226375, 7.65881340757578055 45.06517190320226973, 7.65883021646376783 45.06519452648547031))"
400,maintenance2,ismb,"Polygon ((7.65896196537356921 45.06528980327995981, 7.65894230214611138 45.06529773200070821, 7.65899093163337152 45.06536243036201483, 7.65900959055620056 45.06535503022265488, 7.65896196537356921 45.06528980327995981))"
401,research_lab19,ismb,"Polygon ((7.65885482192718303 45.065383282897578, 7.65887871380570573 45.06541626637591946, 7.65895060087382706 45.06539216306482842, 7.65892628613019877 45.06535854528884499, 7.65885482192718303 45.065383282897578))"
402,ext_office2,ismb,"Polygon ((7.65893574773696173 45.0654025496890327, 7.65890366284699819 45.06541306845856809, 7.65892057745126387 45.0654370131952362, 7.65895324378074882 45.06542633585129209, 7.65893574773696173 45.0654025496890327))"
403,research_lab20,ismb,"Polygon ((7.65874083335186651 45.06522914856615358, 7.65876356235134814 45.06525853769106504, 7.65879622868083221 45.0652473317657325, 7.65877349968135235 45.06521773120827135, 7.65874083335186651 45.06522914856615358))"
404,ext_office3,ismb,"Polygon ((7.65900335329587811 45.0653793449662956, 7.65893648775089542 45.06540223254018684, 7.65895393093654153 45.06542601870243203, 7.65902047933269525 45.06540387114247892, 7.65900335329587811 45.0653793449662956))"
405,hall2,ismb,"Polygon ((7.65905272279707727 45.06540915695633487, 7.65904437121122239 45.06539620671244251, 7.65892015458615916 45.06543812321612563, 7.65890286997492709 45.06541317417482162, 7.65888199101028722 45.06542046859792094, 7.65894906798782671 45.0655122303260498, 7.65896968266177414 45.06550472447040789, 7.65895223947612713 45.06548167832210083, 7.65907561037098006 45.0654399732509674, 7.65906620162235807 45.06542739301404765, 7.65898226289869655 45.06545614784129583, 7.6589680969176257 45.06543548030921187, 7.65905272279707727 45.06540915695633487))"
