,id,room,grid,speed,lat,lon
279,598,laib3B,0,36.0,45.06410587,7.656289021
280,598,laib3B,1,36.95,45.06409417,7.656323627999999
281,598,laib3B,2,1.88,45.06408248,7.656358235
282,598,laib3B,3,20.67,45.06409038,7.656278614
283,598,laib3B,4,16.85,45.06407869,7.6563132210000004
284,598,laib3B,5,5.77,45.06406699,7.6563478279999995
285,598,laib3B,6,13.06,45.06407489,7.656268207
286,598,laib3B,7,32.96,45.06406320000001,7.656302814
287,598,laib3B,8,21.09,45.06405151,7.656337421
288,597,5M,0,0.0,45.06415151,7.656410775
289,597,5M,1,0.0,45.06416357,7.656375092
290,597,5M,2,0.0,45.06417563,7.656339407999999
291,597,5M,3,0.0,45.06416697,7.656421164
292,597,5M,4,0.0,45.06417903,7.65638548
293,597,5M,5,0.0,45.06419109,7.656349796000001
294,597,5M,6,0.0,45.06418243,7.656431552000001
295,597,5M,7,0.0,45.06419449,7.656395868
296,597,5M,8,0.0,45.06420654,7.6563601839999995
297,595,3M,0,0.0,45.06433362,7.656457769
298,595,3M,1,0.0,45.06432203,7.65649206
299,595,3M,2,0.0,45.06431044,7.656526351
300,595,3M,3,0.0,45.06432222,7.656450114
301,595,3M,4,0.0,45.06431064,7.656484405
302,595,3M,5,0.0,45.06429905,7.656518696
303,595,3M,6,0.0,45.06431083,7.656442459
304,595,3M,7,0.0,45.06429925,7.65647675
305,595,3M,8,0.0,45.06428766,7.656511041
306,567,1M,0,33.0,45.06443923,7.656615902
307,567,1M,1,37.09,45.06445021,7.656583389
308,567,1M,2,33.87,45.064461200000004,7.656550877000001
309,567,1M,3,34.69,45.06445416,7.656625936
310,567,1M,4,35.15,45.06446515,7.6565934239999995
311,567,1M,5,32.39,45.06447613,7.656560911000001
312,567,1M,6,32.48,45.06446909,7.656635971
313,567,1M,7,31.45,45.06448008,7.656603458999999
314,567,1M,8,33.54,45.06449107,7.656570946
